,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
335,2019,2,Tucumán,7.02,28.35
336,2019,1,Buenos Aires,15.52,47.51
337,2019,1,Capital Federal,25.7,61.57
338,2019,1,Catamarca,8.07,31.71
339,2019,1,Chaco,9.01,33.71
340,2019,1,Chubut,14.98,48.87
341,2019,1,Córdoba,28.5,93.09
342,2019,1,Corrientes,9.15,34.75
343,2019,1,Entre Ríos,15.36,51.36
344,2019,1,Formosa,9.48,37.24
345,2019,1,Jujuy,11.57,45.25
346,2019,1,La Pampa,22.95,69.67
347,2019,1,La Rioja,6.71,25.19
348,2019,1,Mendoza,7.16,25.65
349,2019,1,Misiones,11.07,40.64
350,2019,1,Neuquén,12.26,41.2
351,2019,1,Río Negro,12.26,39.87
352,2019,1,Salta,12.48,51.51
353,2019,1,San Juan,5.72,22.47
354,2019,1,San Luis,10.71,37.44
355,2019,1,Santa Cruz,16.07,54.01
356,2019,1,Santa Fe,17.14,54.52
357,2019,1,Santiago del Estero,11.32,45.61
358,2019,1,Tierra del Fuego,27.33,92.18
359,2019,1,Tucumán,7.11,28.71
360,2018,4,Buenos Aires,15.47,47.45
361,2018,4,Capital Federal,24.46,58.54
362,2018,4,Catamarca,8.19,32.19
363,2018,4,Chaco,8.43,31.54
364,2018,4,Chubut,15.03,49.04
365,2018,4,Córdoba,28.56,93.29
366,2018,4,Corrientes,9.25,35.13
367,2018,4,Entre Ríos,15.25,51.0
368,2018,4,Formosa,9.86,38.73
369,2018,4,Jujuy,13.03,50.96
370,2018,4,La Pampa,23.02,69.86
371,2018,4,La Rioja,6.45,24.21
372,2018,4,Mendoza,6.0,21.48
373,2018,4,Misiones,11.12,40.84
374,2018,4,Neuquén,12.3,41.33
375,2018,4,Río Negro,12.46,40.5
376,2018,4,Salta,12.67,52.3
377,2018,4,San Juan,5.68,22.29
378,2018,4,San Luis,11.07,38.7
379,2018,4,Santa Cruz,16.21,54.46
380,2018,4,Santa Fe,17.15,54.55
381,2018,4,Santiago del Estero,10.93,44.06
382,2018,4,Tierra del Fuego,27.7,93.44
383,2018,4,Tucumán,7.54,30.44
384,2018,3,Buenos Aires,15.66,48.16
385,2018,3,Capital Federal,24.62,58.84
386,2018,3,Catamarca,20.35,80.0
387,2018,3,Chaco,8.39,31.38
388,2018,3,Chubut,14.97,48.85
389,2018,3,Córdoba,29.19,95.33
390,2018,3,Corrientes,9.18,34.85
391,2018,3,Entre Ríos,15.19,50.81
392,2018,3,Formosa,10.05,39.48
393,2018,3,Jujuy,12.15,47.51
394,2018,3,La Pampa,23.59,71.61
395,2018,3,La Rioja,6.25,23.49
396,2018,3,Mendoza,6.02,21.56
397,2018,3,Misiones,10.95,40.22
398,2018,3,Neuquén,12.4,41.66
399,2018,3,Río Negro,13.04,42.4
400,2018,3,Salta,12.65,52.22
401,2018,3,San Juan,5.89,23.1
402,2018,3,San Luis,11.13,38.9
403,2018,3,Santa Cruz,16.26,54.66
404,2018,3,Santa Fe,18.09,57.53
405,2018,3,Santiago del Estero,11.34,45.7
406,2018,3,Tierra del Fuego,27.95,94.26
407,2018,3,Tucumán,7.59,30.64
408,2018,2,Buenos Aires,15.5,47.76
409,2018,2,Capital Federal,24.21,57.79
410,2018,2,Catamarca,19.25,75.66
411,2018,2,Chaco,9.2,34.41
412,2018,2,Chubut,12.51,40.8
413,2018,2,Córdoba,30.28,98.89
414,2018,2,Corrientes,9.12,34.64
415,2018,2,Entre Ríos,15.54,51.97
416,2018,2,Formosa,8.75,34.39
417,2018,2,Jujuy,11.94,46.68
418,2018,2,La Pampa,23.44,71.15
419,2018,2,La Rioja,5.97,22.44
420,2018,2,Mendoza,4.58,16.4
421,2018,2,Misiones,10.95,40.22
422,2018,2,Neuquén,12.19,40.96
423,2018,2,Río Negro,12.05,39.17
424,2018,2,Salta,12.19,50.31
425,2018,2,San Juan,6.27,24.63
426,2018,2,San Luis,11.56,40.4
427,2018,2,Santa Cruz,15.38,51.68
428,2018,2,Santa Fe,17.69,56.25
429,2018,2,Santiago del Estero,10.07,40.56
430,2018,2,Tierra del Fuego,24.97,84.2
431,2018,2,Tucumán,7.2,29.07
432,2018,1,Buenos Aires,15.49,47.83
433,2018,1,Capital Federal,24.18,57.64
434,2018,1,Catamarca,21.87,85.99
